"draught","speed","beaufort","consumption","imo"
5.0,4.0,8.0,6.506176376086349,234567
5.0,4.5,8.0,7.426240576456968,234567
5.0,5.0,8.0,8.455102868582053,234567
5.0,5.5,7.0,6.494879879301647,234567
5.0,5.5,8.0,9.595918655482956,234567
5.0,6.0,7.0,7.407768175119292,234567
5.0,6.0,8.0,10.851272571636166,234567
5.0,6.5,6.0,6.475034699448202,234567
5.0,6.5,7.0,8.40743941836513,234567
5.0,6.5,8.0,12.223877794094683,234567
5.0,7.0,5.0,6.087268921916679,234567
5.0,7.0,6.0,7.424182901242259,234567
5.0,7.0,7.0,9.495348790981435,234567
5.0,7.0,8.0,13.716144505475857,234567
5.0,7.5,4.0,6.053206090344386,234567
5.0,7.5,5.0,7.038711430661826,234567
5.0,7.5,6.0,8.457861688427482,234567
5.0,7.5,7.0,10.673148063663982,234567
5.0,7.5,8.0,15.33128190781723,234567
5.0,8.0,2.0,5.833471256798725,234567
5.0,8.0,3.0,6.306884419956015,234567
5.0,8.0,4.0,7.028973699908547,234567
5.0,8.0,5.0,8.075793445644022,234567
5.0,8.0,6.0,9.577682011224793,234567
5.0,8.0,7.0,11.942578477474344,234567
5.0,8.0,8.0,17.073589203391997,234567
5.0,8.5,0.0,6.3633481178049385,234567
5.0,8.5,1.0,6.504911824316976,234567
5.0,8.5,2.0,6.813315219094762,234567
5.0,8.5,3.0,7.322633740326144,234567
5.0,8.5,4.0,8.092341711630583,234567
5.0,8.5,5.0,9.200289236832672,234567
5.0,8.5,6.0,10.785254493643864,234567
5.0,8.5,7.0,13.30554844926449,234567
5.0,8.5,8.0,18.949190388348853,234567
5.0,9.0,0.0,7.39395541313598,234567
5.0,9.0,1.0,7.549009240171365,234567
5.0,9.0,2.0,7.882722303116551,234567
5.0,9.0,3.0,8.428127975902633,234567
5.0,9.0,4.0,9.245404669918145,234567
5.0,9.0,5.0,10.41419098373139,234567
5.0,9.0,6.0,12.082973433654393,234567
5.0,9.0,7.0,14.765228728530888,234567
5.0,9.0,8.0,20.9678689096231,234567
5.0,9.5,0.0,8.516243308133413,234567
5.0,9.5,1.0,8.684962861283404,234567
5.0,9.5,2.0,9.044339968700328,234567
5.0,9.5,3.0,9.625886244203969,234567
5.0,9.5,4.0,10.49054626659116,234567
5.0,9.5,5.0,11.720146568181827,234567
5.0,9.5,6.0,13.473613854134594,234567
5.0,9.5,7.0,16.325175423984057,234567
5.0,9.5,8.0,23.135573145637785,234567
5.0,10.0,0.0,9.73317385351928,234567
5.0,10.0,1.0,9.91578397181175,234567
5.0,10.0,2.0,10.301084360363278,234567
5.0,10.0,3.0,10.918921141779848,234567
5.0,10.0,4.0,11.83096154186345,234567
5.0,10.0,5.0,13.121430549309071,234567
5.0,10.0,6.0,14.96099535853942,234567
5.0,10.0,7.0,17.990898943293956,234567
5.0,10.0,8.0,25.465158412587495,234567
5.0,10.5,0.0,11.048716755450188,234567
5.0,10.5,1.0,11.24543624134898,234567
5.0,10.5,2.0,11.656971698118495,234567
5.0,10.5,3.0,12.311354351800347,234567
5.0,10.5,4.0,13.270945806629094,234567
5.0,10.5,5.0,14.622817805653725,234567
5.0,10.5,6.0,16.550598346774034,234567
5.0,10.5,7.0,19.77230491457608,234567
5.0,10.5,8.0,27.975447562106485,234567
5.0,11.0,0.0,12.46793960628843,234567
5.0,11.0,1.0,12.679066322995617,234567
5.0,11.0,2.0,13.117059324332235,234567
5.0,11.0,3.0,13.808450955538436,234567
5.0,11.0,4.0,14.816135287869322,234567
5.0,11.0,5.0,16.230391681955165,234567
5.0,11.0,6.0,18.249560191105193,234567
5.0,11.0,7.0,21.67655054399209,234567
5.0,11.0,8.0,30.682066743408164,234567
5.0,11.5,0.0,13.997367627687545,234567
5.0,11.5,1.0,14.22319600387962,234567
5.0,11.5,2.0,14.688351480600453,234567
5.0,11.5,3.0,15.41716068400657,234567
5.0,11.5,4.0,16.473940021736134,234567
5.0,11.5,5.0,17.952377014991026,234567
5.0,11.5,6.0,20.070624350794095,234567
5.0,11.5,7.0,23.714509153582686,234567
5.0,11.5,8.0,33.5807919651188,234567
5.0,12.0,0.0,15.645791132913768,234567
5.0,12.0,1.0,15.886722771996023,234567
