"draught","speed_through_water","beaufort","consumption_main_engine_mt_per_day","consumption_auxiliary_engine_mt_per_day","consumption_boiler_engine_mt_per_day","imo"
6.0,6.1,4.0,5.237754069305023,3.6,1.0,345678
6.0,6.1,5.0,6.919550281920411,3.6,1.0,345678
6.0,6.1,6.0,9.730964699029718,3.6,1.0,345678
6.0,6.2,4.0,5.32863810986135,3.6,1.0,345678
6.0,6.2,5.0,7.032755043826416,3.6,1.0,345678
6.0,6.2,6.0,9.873708095016188,3.6,1.0,345678
6.0,6.3,3.0,4.527398992210053,3.6,1.0,345678
6.0,6.3,4.0,5.41954802228221,3.6,1.0,345678
6.0,6.3,5.0,7.145775710584523,3.6,1.0,345678
6.0,6.3,6.0,10.015655342821008,3.6,1.0,345678
6.0,6.4,3.0,4.605256264272676,3.6,1.0,345678
6.0,6.4,4.0,5.510489412882897,3.6,1.0,345678
6.0,6.4,5.0,7.258615235810016,3.6,1.0,345678
6.0,6.4,6.0,10.17902262156499,3.6,1.0,345678
6.0,6.5,3.0,4.683647670272651,3.6,1.0,345678
6.0,6.5,4.0,5.601893718417377,3.6,1.0,345678
6.0,6.5,5.0,7.37167206096919,3.6,1.0,345678
6.0,6.5,6.0,10.342889556173695,3.6,1.0,345678
6.0,6.6,3.0,4.760823410373814,3.6,1.0,345678
6.0,6.6,4.0,5.692069360242596,3.6,1.0,345678
6.0,6.6,5.0,7.483373139819489,3.6,1.0,345678
6.0,6.6,6.0,10.505608728049822,3.6,1.0,345678
6.0,6.7,3.0,4.838550285280654,3.6,1.0,345678
6.0,6.7,4.0,5.782722489412358,3.6,1.0,345678
6.0,6.7,5.0,7.595301452541005,3.6,1.0,345678
6.0,6.7,6.0,10.668769413392752,3.6,1.0,345678
6.0,6.8,2.0,4.487701145107437,3.6,1.0,345678
6.0,6.8,3.0,4.915524183968349,3.6,1.0,345678
6.0,6.8,4.0,5.872593597016483,3.6,1.0,345678
6.0,6.8,5.0,7.7062882003966235,3.6,1.0,345678
6.0,6.8,6.0,10.8311960216247,3.6,1.0,345678
6.0,6.9,2.0,4.557176898640079,3.6,1.0,345678
6.0,6.9,3.0,4.9917596831507405,3.6,1.0,345678
6.0,6.9,4.0,5.961697275578855,3.6,1.0,345678
6.0,6.9,5.0,7.81634802227294,3.6,1.0,345678
6.0,6.9,6.0,10.992900043975004,3.6,1.0,345678
6.0,7.0,2.0,4.6272362708745005,3.6,1.0,345678
6.0,7.0,3.0,5.068571177777049,3.6,1.0,345678
6.0,7.0,4.0,6.051299469396574,3.6,1.0,345678
6.0,7.0,5.0,7.926648780385934,3.6,1.0,345678
6.0,7.0,6.0,11.155064494378797,3.6,1.0,345678
6.0,7.1,0.0,4.470590313739628,3.6,1.0,345678
6.0,7.1,1.0,4.523182837702118,3.6,1.0,345678
6.0,7.1,2.0,4.694368996947962,3.6,1.0,345678
6.0,7.1,3.0,5.142504694127128,3.6,1.0,345678
6.0,7.1,4.0,6.138075136860493,3.6,1.0,345678
6.0,7.1,5.0,8.034126502900333,3.6,1.0,345678
6.0,7.1,6.0,11.314574890010636,3.6,1.0,345678
6.0,7.2,0.0,4.533813359085728,3.6,1.0,345678
6.0,7.2,1.0,4.587671825784365,3.6,1.0,345678
6.0,7.2,2.0,4.762112537419459,3.6,1.0,345678
6.0,7.2,3.0,5.217040988301344,3.6,1.0,345678
6.0,7.2,4.0,6.225375488267573,3.6,1.0,345678
6.0,7.2,5.0,8.141870156796124,3.6,1.0,345678
6.0,7.2,6.0,11.474566863819673,3.6,1.0,345678
6.0,7.3,0.0,4.595736720611004,3.6,1.0,345678
6.0,7.3,1.0,4.650874996302653,3.6,1.0,345678
6.0,7.3,2.0,4.828594806417908,3.6,1.0,345678
6.0,7.3,3.0,5.290338691579232,3.6,1.0,345678
6.0,7.3,4.0,6.311429436208626,3.6,1.0,345678
6.0,7.3,5.0,8.248250834692614,3.6,1.0,345678
6.0,7.3,6.0,11.633379002769738,3.6,1.0,345678
6.0,7.4,0.0,4.656381558794357,3.6,1.0,345678
6.0,7.4,1.0,4.712813534839684,3.6,1.0,345678
6.0,7.4,2.0,4.89383710378517,3.6,1.0,345678
6.0,7.4,3.0,5.362419458680674,3.6,1.0,345678
6.0,7.4,4.0,6.396259454468235,3.6,1.0,345678
6.0,7.4,5.0,8.353292549553318,3.6,1.0,345678
6.0,7.4,6.0,11.791029064963084,3.6,1.0,345678
6.0,7.5,0.0,4.717645506275229,3.6,1.0,345678
6.0,7.5,1.0,4.775381166702339,3.6,1.0,345678
6.0,7.5,2.0,4.959720653696991,3.6,1.0,345678
6.0,7.5,3.0,5.435131923658689,3.6,1.0,345678
6.0,7.5,4.0,6.481640285995875,3.6,1.0,345678
6.0,7.5,5.0,8.458620960648526,3.6,1.0,345678
6.0,7.5,6.0,11.953436611735873,3.6,1.0,345678
6.0,7.6,0.0,4.778029627298815,3.6,1.0,345678
6.0,7.6,1.0,4.837081934716949,3.6,1.0,345678
6.0,7.6,2.0,5.024759204150278,3.6,1.0,345678
6.0,7.6,3.0,5.507015464526166,3.6,1.0,345678
6.0,7.6,4.0,6.566169708835482,3.6,1.0,345678
6.0,7.6,5.0,8.562951734270852,3.6,1.0,345678
6.0,7.6,6.0,12.118203208764932,3.6,1.0,345678
6.0,7.7,0.0,4.83905071746932,3.6,1.0,345678
6.0,7.7,1.0,4.899429287709111,3.6,1.0,345678
6.0,7.7,2.0,5.090455626283522,3.6,1.0,345678
6.0,7.7,3.0,5.579545631658016,3.6,1.0,345678
6.0,7.7,4.0,6.651261615891138,3.6,1.0,345678
6.0,7.7,5.0,8.66757462381872,3.6,1.0,345678
6.0,7.7,6.0,12.283739356046494,3.6,1.0,345678
6.0,7.8,0.0,4.901397513438477,3.6,1.0,345678
6.0,7.8,1.0,4.963110141093396,3.6,1.0,345678
6.0,7.8,2.0,5.157491266068317,3.6,1.0,345678
6.0,7.8,3.0,5.653389753951686,3.6,1.0,345678
6.0,7.8,4.0,6.7375521067638084,3.6,1.0,345678
6.0,7.8,5.0,8.773063190560912,3.6,1.0,345678
6.0,7.8,6.0,12.450681154646196,3.6,1.0,345678
6.0,7.9,0.0,4.965067691232583,3.6,1.0,345678
6.0,7.9,1.0,5.028121790295742,3.6,1.0,345678
6.0,7.9,2.0,5.225862477604192,3.6,1.0,345678
6.0,7.9,3.0,5.728542267810745,3.6,1.0,345678
6.0,7.9,4.0,6.825031842098003,3.6,1.0,345678
6.0,7.9,5.0,8.879400921489125,3.6,1.0,345678
6.0,7.9,6.0,12.61902971896702,3.6,1.0,345678
6.0,8.0,0.0,5.029382760341095,3.6,1.0,345678
6.0,8.0,1.0,5.093786974013436,3.6,1.0,345678
6.0,8.0,2.0,5.294896117684481,3.6,1.0,345678
6.0,8.0,3.0,5.804341119297398,3.6,1.0,345678
6.0,8.0,4.0,6.913064252082955,3.6,1.0,345678
6.0,8.0,5.0,8.986002832201565,3.6,1.0,345678
6.0,8.0,6.0,12.788161617846184,3.6,1.0,345678
6.0,8.1,0.0,5.098543273783761,3.6,1.0,345678
6.0,8.1,1.0,5.164295654646409,3.6,1.0,345678
6.0,8.1,2.0,5.368749250631449,3.6,1.0,345678
6.0,8.1,3.0,5.884859565930486,3.6,1.0,345678
6.0,8.1,4.0,7.005534918694541,3.6,1.0,345678
6.0,8.1,5.0,9.096378341821914,3.6,1.0,345678
6.0,8.1,6.0,12.961964027325225,3.6,1.0,345678
6.0,8.2,0.0,5.168339588508678,3.6,1.0,345678
6.0,8.2,1.0,5.2354477109030295,3.6,1.0,345678
6.0,8.2,2.0,5.443251984659672,3.6,1.0,345678
6.0,8.2,3.0,5.966006030891645,3.6,1.0,345678
6.0,8.2,4.0,7.098529090118953,3.6,1.0,345678
6.0,8.2,5.0,9.20696831408874,3.6,1.0,345678
6.0,8.2,6.0,13.136553951845407,3.6,1.0,345678
6.0,8.3,0.0,5.242268951748912,3.6,1.0,345678
6.0,8.3,1.0,5.310731053583438,3.6,1.0,345678
6.0,8.3,2.0,5.521863496870429,3.6,1.0,345678
6.0,8.3,3.0,6.051167036967555,3.6,1.0,345678
6.0,8.3,4.0,7.19527122422198,3.6,1.0,345678
6.0,8.3,5.0,9.320672992597713,3.6,1.0,345678
6.0,8.3,6.0,13.315177297885098,3.6,1.0,345678
6.0,8.4,0.0,5.320314312853255,3.6,1.0,345678
6.0,8.4,1.0,5.390127678455315,3.6,1.0,345678
6.0,8.4,2.0,5.604563378758395,3.6,1.0,345678
6.0,8.4,3.0,6.140317175415531,3.6,1.0,345678
6.0,8.4,4.0,7.295725997091883,3.6,1.0,345678
6.0,8.4,5.0,9.437438339991346,3.6,1.0,345678
6.0,8.4,6.0,13.497834460895694,3.6,1.0,345678
6.0,8.5,0.0,5.398962149711619,3.6,1.0,345678
6.0,8.5,1.0,5.470132590460702,3.6,1.0,345678
6.0,8.5,2.0,5.687873419660604,3.6,1.0,345678
6.0,8.5,3.0,6.230047055361101,3.6,1.0,345678
6.0,8.5,4.0,7.39663873768234,3.6,1.0,345678
6.0,8.5,5.0,9.554320172908314,3.6,1.0,345678
6.0,8.5,6.0,13.681273587222906,3.6,1.0,345678
6.0,8.6,0.0,5.487681316439092,3.6,1.0,345678
6.0,8.6,1.0,5.560187906157615,3.6,1.0,345678
6.0,8.6,2.0,5.781154018449799,3.6,1.0,345678
6.0,8.6,3.0,6.329511629914012,3.6,1.0,345678
6.0,8.6,4.0,7.50670761773503,3.6,1.0,345678
6.0,8.6,5.0,9.679104577410314,3.6,1.0,345678
6.0,8.6,6.0,13.874324546282962,3.6,1.0,345678
6.0,8.7,0.0,5.57695002716396,3.6,1.0,345678
6.0,8.7,1.0,5.650796722666085,3.6,1.0,345678
6.0,8.7,2.0,5.874985384697806,3.6,1.0,345678
6.0,8.7,3.0,6.429487153936702,3.6,1.0,345678
6.0,8.7,4.0,7.617147284828377,3.6,1.0,345678
6.0,8.7,5.0,9.803883847907874,3.6,1.0,345678
6.0,8.7,6.0,14.06814548499627,3.6,1.0,345678
6.0,8.8,0.0,5.672184340176051,3.6,1.0,345678
6.0,8.8,1.0,5.74735884499217,3.6,1.0,345678
6.0,8.8,2.0,5.974718127021642,3.6,1.0,345678
6.0,8.8,3.0,6.535201535480766,3.6,1.0,345678
6.0,8.8,4.0,7.73291399644593,3.6,1.0,345678
6.0,8.8,5.0,9.933072930799714,3.6,1.0,345678
6.0,8.8,6.0,14.26781023345177,3.6,1.0,345678
6.0,8.9,0.0,5.773328981422365,3.6,1.0,345678
6.0,8.9,1.0,5.8498175837001645,3.6,1.0,345678
6.0,8.9,2.0,6.080292038683907,3.6,1.0,345678
6.0,8.9,3.0,6.646587385591265,3.6,1.0,345678
6.0,8.9,4.0,7.853926336038354,3.6,1.0,345678
6.0,8.9,5.0,10.074422379312912,3.6,1.0,345678
6.0,8.9,6.0,14.47330421227948,3.6,1.0,345678
6.0,9.0,0.0,5.874939555966632,3.6,1.0,345678
6.0,9.0,1.0,5.952743713933201,3.6,1.0,345678
6.0,9.0,2.0,6.186324509806718,3.6,1.0,345678
6.0,9.0,3.0,6.7583797957065315,3.6,1.0,345678
6.0,9.0,4.0,7.9751816217914495,3.6,1.0,345678
6.0,9.0,5.0,10.229090716235586,3.6,1.0,345678
6.0,9.0,6.0,14.679546246325822,3.1,0.0,345678
6.0,9.1,0.0,5.988882871534298,3.6,1.0,345678
6.0,9.1,1.0,6.067966086378829,3.6,1.0,345678
6.0,9.1,2.0,6.304530401738418,3.6,1.0,345678
6.0,9.1,3.0,6.882011211837757,3.6,1.0,345678
6.0,9.1,4.0,8.10748938504871,3.6,1.0,345678
6.0,9.1,5.0,10.39562184343699,3.6,1.0,345678
6.0,9.1,6.0,14.897734289283763,3.1,0.0,345678
6.0,9.2,0.0,6.103187375008444,3.6,1.0,345678
6.0,9.2,1.0,6.183548716405476,3.6,1.0,345678
6.0,9.2,2.0,6.423081878260234,3.6,1.0,345678
6.0,9.2,3.0,7.0059245253321745,3.6,1.0,345678
6.0,9.2,4.0,8.239892940970655,3.6,1.0,345678
6.0,9.2,5.0,10.562745047423396,3.6,1.0,345678
6.0,9.2,6.0,15.116641358177022,3.1,0.0,345678
6.0,9.3,0.0,6.224303825295761,3.6,1.0,345678
6.0,9.3,1.0,6.305920438342097,3.6,1.0,345678
6.0,9.3,2.0,6.548342521543038,3.6,1.0,345678
6.0,9.3,3.0,7.136322887659661,3.6,1.0,345678
6.0,9.3,4.0,8.378243063940284,3.6,1.0,345678
6.0,9.3,5.0,10.736585471687741,3.6,1.0,345678
6.0,9.3,6.0,15.342395416265495,3.1,0.0,345678
6.0,9.4,0.0,6.352127949758422,3.6,1.0,345678
6.0,9.4,1.0,6.4349752307008385,3.6,1.0,345678
6.0,9.4,2.0,6.680202040158106,3.6,1.0,345678
6.0,9.4,3.0,7.2730874835885055,3.6,1.0,345678
6.0,9.4,4.0,8.52240458851505,3.6,1.0,345678
6.0,9.4,5.0,10.917087718970862,3.6,1.0,345678
6.0,9.4,6.0,15.574962210209854,3.1,0.0,345678
6.0,9.5,0.0,6.4801818473767545,3.6,1.0,345678
6.0,9.5,1.0,6.564255716242771,3.6,1.0,345678
6.0,9.5,2.0,6.8122649809566065,3.6,1.0,345678
6.0,9.5,3.0,7.409976878331617,3.6,1.0,345678
6.0,9.5,4.0,8.666476449672848,3.6,1.0,345678
6.0,9.5,5.0,11.098121843414752,3.6,1.0,345678
6.0,9.5,6.0,15.808220678267277,3.1,0.0,345678
6.0,9.6,0.0,6.622269164726304,3.6,1.0,345678
6.0,9.6,1.0,6.707515436141551,3.6,1.0,345678
6.0,9.6,2.0,6.958136853092498,3.6,1.0,345678
6.0,9.6,3.0,7.560234945075046,3.6,1.0,345678
6.0,9.6,4.0,8.82291110045116,3.6,1.0,345678
6.0,9.6,5.0,11.29289012075189,3.6,1.0,345678
6.0,9.6,6.0,16.05542029188986,3.1,0.0,345678
6.0,9.7,0.0,6.764412608023544,3.6,1.0,345678
6.0,9.7,1.0,6.850824267761292,3.6,1.0,345678
6.0,9.7,2.0,7.104028494862864,3.6,1.0,345678
6.0,9.7,3.0,7.710420282129062,3.6,1.0,345678
6.0,9.7,4.0,8.979032288476875,3.6,1.0,345678
6.0,9.7,5.0,11.488103509379306,3.6,1.0,345678
6.0,9.7,6.0,16.303261241162048,3.1,0.0,345678
6.0,9.8,0.0,6.913995810602076,3.6,1.0,345678
6.0,9.8,1.0,7.001537350495815,3.6,1.0,345678
6.0,9.8,2.0,7.257211562445011,3.6,1.0,345678
6.0,9.8,3.0,7.867602090002062,3.6,1.0,345678
6.0,9.8,4.0,9.141467966416796,3.6,1.0,345678
6.0,9.8,5.0,11.69086992741187,3.6,1.0,345678
6.0,9.8,6.0,16.558896697540597,3.1,0.0,345678
6.0,9.9,0.0,7.070848964157826,3.6,1.0,345678
6.0,9.9,1.0,7.159482780368513,3.6,1.0,345678
6.0,9.9,2.0,7.417509121370402,3.6,1.0,345678
6.0,9.9,3.0,8.03159361677559,3.6,1.0,345678
6.0,9.9,4.0,9.31001289720121,3.6,1.0,345678
6.0,9.9,5.0,11.9031278401379,3.6,1.0,345678
6.0,9.9,6.0,16.822266807642087,3.1,0.0,345678
6.0,10.0,0.0,7.2275571751742955,3.6,1.0,345678
6.0,10.0,1.0,7.317272387634966,3.6,1.0,345678
6.0,10.0,2.0,7.577612294494838,3.6,1.0,345678
6.0,10.0,3.0,8.195280411510746,3.6,1.0,345678
6.0,10.0,4.0,9.477978937724577,3.6,1.0,345678
6.0,10.0,5.0,12.123615507658142,3.6,1.0,345678
6.0,10.0,6.0,17.086239822482344,3.1,0.0,345678
6.0,10.1,0.0,7.399523748236108,3.6,1.0,345678
6.0,10.1,1.0,7.490245814823784,3.6,1.0,345678
6.0,10.1,2.0,7.752675474249123,3.6,1.0,345678
6.0,10.1,3.0,8.373370353786324,3.6,1.0,345678
6.0,10.1,4.0,9.659104249613248,3.6,1.0,345678
6.0,10.1,5.0,12.360621052624769,3.6,1.0,345678
6.0,10.1,6.0,17.365952733268117,3.1,0.0,345678
6.0,10.2,0.0,7.571083312881103,3.6,1.0,345678
6.0,10.2,1.0,7.662797847326225,3.6,1.0,345678
6.0,10.2,2.0,7.927270360998562,3.6,1.0,345678
6.0,10.2,3.0,8.550865603038416,3.6,1.0,345678
6.0,10.2,4.0,9.839330796689353,3.6,1.0,345678
6.0,10.2,5.0,12.598347595764213,3.6,1.0,345678
6.0,10.2,6.0,17.64619216514871,3.1,0.0,345678
6.0,10.3,0.0,7.750073940256127,3.6,1.0,345678
6.0,10.3,1.0,7.842732035146296,3.6,1.0,345678
6.0,10.3,2.0,8.109100845698551,3.6,1.0,345678
6.0,10.3,3.0,8.735231557326252,3.6,1.0,345678
6.0,10.3,4.0,10.027077553494998,3.6,1.0,345678
6.0,10.3,5.0,12.844912963294354,3.6,1.0,345678
6.0,10.3,6.0,17.93475790470993,3.1,0.0,345678
6.0,10.4,0.0,7.936313508796409,3.6,1.0,345678
6.0,10.4,1.0,8.029863615154385,3.6,1.0,345678
6.0,10.4,2.0,8.297975789495425,3.6,1.0,345678
6.0,10.4,3.0,8.92626454573047,3.6,1.0,345678
6.0,10.4,4.0,10.249841961128956,3.6,1.0,345678
6.0,10.4,5.0,13.100303124410416,3.6,1.0,345678
6.0,10.4,6.0,18.231622871545344,3.1,0.0,345678
6.0,10.5,0.0,8.121843697330066,3.6,1.0,345678
6.0,10.5,1.0,8.216266972236738,3.6,1.0,345678
6.0,10.5,2.0,8.486065146075488,3.6,1.0,345678
6.0,10.5,3.0,9.11636572984561,3.6,1.0,345678
6.0,10.5,4.0,10.472923730189311,3.6,1.0,345678
6.0,10.5,5.0,13.35636292983777,3.6,1.0,345678
6.0,10.5,6.0,18.528943448291407,3.1,0.0,345678
6.0,10.6,0.0,8.322357023775956,3.6,1.0,345678
6.0,10.6,1.0,8.41756034664995,3.6,1.0,345678
6.0,10.6,2.0,8.6887740671013,3.6,1.0,345678
6.0,10.6,3.0,9.320433257681593,3.6,1.0,345678
6.0,10.6,4.0,10.71269520198171,3.6,1.0,345678
6.0,10.6,5.0,13.6296803236673,3.6,1.0,345678
6.0,10.6,6.0,18.842635723335174,3.1,0.0,345678
6.0,10.7,0.0,8.521842027470543,3.6,1.0,345678
6.0,10.7,1.0,8.6178024740513,3.6,1.0,345678
6.0,10.7,2.0,8.8903647312201,3.6,1.0,345678
6.0,10.7,3.0,9.523217887537044,3.6,1.0,345678
6.0,10.7,4.0,10.952668993478218,3.6,1.0,345678
6.0,10.7,5.0,13.903616041157232,3.6,1.0,345678
6.0,10.7,6.0,19.156713938229625,3.1,0.0,345678
6.0,10.8,0.0,8.72816674554974,3.6,1.0,345678
6.0,10.8,1.0,8.824821569944008,3.6,1.0,345678
6.0,10.8,2.0,9.098551974201548,3.6,1.0,345678
6.0,10.8,3.0,9.732166579875416,3.6,1.0,345678
6.0,10.8,4.0,11.201167767886654,3.6,1.0,345678
6.0,10.8,5.0,14.186635830478702,3.6,1.0,345678
6.0,10.8,6.0,19.48740689770296,3.1,0.0,345678
6.0,10.9,0.0,8.94107560723301,3.6,1.0,345678
6.0,10.9,1.0,9.038359171993445,3.6,1.0,345678
6.0,10.9,2.0,9.313070460847936,3.6,1.0,345678
6.0,10.9,3.0,9.947000768933446,3.6,1.0,345678
6.0,10.9,4.0,11.458101637639624,3.6,1.0,345678
6.0,10.9,5.0,14.47870080216004,3.6,1.0,345678
6.0,10.9,6.0,19.829571986926453,3.1,0.0,345678
6.0,11.0,0.0,9.152552791280417,3.6,1.0,345678
6.0,11.0,1.0,9.25043718581671,3.6,1.0,345678
6.0,11.0,2.0,9.526050801525479,3.6,1.0,345678
6.0,11.0,3.0,10.182862584594663,3.6,1.0,345678
6.0,11.0,4.0,11.715080948198953,3.6,1.0,345678
6.0,11.0,5.0,14.771304405492678,3.1,0.0,345678
6.0,11.0,6.0,20.17246083879486,3.1,0.0,345678
6.0,11.1,0.0,9.378244037297556,3.6,1.0,345678
6.0,11.1,1.0,9.476615905671942,3.6,1.0,345678
6.0,11.1,2.0,9.752811385548787,3.6,1.0,345678
6.0,11.1,3.0,10.446770971447204,3.6,1.0,345678
6.0,11.1,4.0,11.995110846557164,3.6,1.0,345678
6.0,11.1,5.0,15.081727549339954,3.1,0.0,345678
6.0,11.1,6.0,20.53322657147393,3.1,0.0,345678
6.0,11.2,0.0,9.602088251149508,3.6,1.0,345678
6.0,11.2,1.0,9.70091514772969,3.6,1.0,345678
6.0,11.2,2.0,9.97760334639823,3.6,1.0,345678
6.0,11.2,3.0,10.710692085325324,3.6,1.0,345678
6.0,11.2,4.0,12.282093129560794,3.6,1.0,345678
6.0,11.2,5.0,15.392613859478692,3.1,0.0,345678
6.0,11.2,6.0,20.894672151200194,3.1,0.0,345678
6.0,11.3,0.0,9.831794762071908,3.6,1.0,345678
6.0,11.3,1.0,9.930999027435314,3.6,1.0,345678
6.0,11.3,2.0,10.238498127291919,3.6,1.0,345678
6.0,11.3,3.0,10.983321704090029,3.6,1.0,345678
6.0,11.3,4.0,12.57857314252267,3.6,1.0,345678
6.0,11.3,5.0,15.712673487901586,3.1,0.0,345678
6.0,11.3,6.0,21.26545898246856,3.1,0.0,345678
6.0,11.4,0.0,10.074961768471798,3.6,1.0,345678
6.0,11.4,1.0,10.190320863511298,3.6,1.0,345678
6.0,11.4,2.0,10.514051793361615,3.6,1.0,345678
6.0,11.4,3.0,11.264540711944434,3.6,1.0,345678
6.0,11.4,4.0,12.884493069133487,3.6,1.0,345678
6.0,11.4,5.0,16.041840894633104,3.1,0.0,345678
6.0,11.4,6.0,21.64554634950121,3.1,0.0,345678
6.0,11.5,0.0,10.345735231077745,3.6,1.0,345678
6.0,11.5,1.0,10.462538003726225,3.6,1.0,345678
