"draught","speed","beaufort","trim","consumption","imo"
7.4,5.0,0.0,2.8,1.4,456789
7.4,5.0,1.0,2.8,1.5,456789
7.4,5.0,2.0,2.8,1.8,456789
7.4,5.0,3.0,2.8,2.5,456789
7.4,5.0,4.0,2.8,4.0,456789
7.4,5.0,5.0,2.8,6.6,456789
7.4,5.5,0.0,2.8,1.8,456789
7.4,5.5,1.0,2.8,1.9,456789
7.4,5.5,2.0,2.8,2.3,456789
7.4,5.5,3.0,2.8,3.1,456789
7.4,5.5,4.0,2.8,4.8,456789
7.4,5.5,5.0,2.8,7.7,456789
7.4,6.0,0.0,2.8,2.4,456789
7.4,6.0,1.0,2.8,2.5,456789
7.4,6.0,2.0,2.8,2.9,456789
7.4,6.0,3.0,2.8,3.8,456789
7.4,6.0,4.0,2.8,5.7,456789
7.4,6.0,5.0,2.8,8.9,456789
7.4,6.5,0.0,2.8,3.0,456789
7.4,6.5,1.0,2.8,3.1,456789
7.4,6.5,2.0,2.8,3.6,456789
7.4,6.5,3.0,2.8,4.6,456789
7.4,6.5,4.0,2.8,6.6,456789
7.4,6.5,5.0,2.8,10.1,456789
7.4,7.0,0.0,2.8,3.7,456789
7.4,7.0,1.0,2.8,3.9,456789
7.4,7.0,2.0,2.8,4.4,456789
7.4,7.0,3.0,2.8,5.5,456789
7.4,7.0,4.0,2.8,7.7,456789
7.4,7.0,5.0,2.8,11.5,456789
7.4,7.5,0.0,2.8,4.6,456789
7.4,7.5,1.0,2.8,4.7,456789
7.4,7.5,2.0,2.8,5.3,456789
7.4,7.5,3.0,2.8,6.6,456789
7.4,7.5,4.0,2.8,8.9,456789
7.4,7.5,5.0,2.8,12.9,456789
7.4,8.0,0.0,2.8,5.5,456789
7.4,8.0,1.0,2.8,5.7,456789
7.4,8.0,2.0,2.8,6.3,456789
7.4,8.0,3.0,2.8,7.7,456789
7.4,8.0,4.0,2.8,10.2,456789
7.4,8.0,5.0,2.8,14.5,456789
7.4,8.5,0.0,2.8,6.6,456789
7.4,8.5,1.0,2.8,6.8,456789
7.4,8.5,2.0,2.8,7.5,456789
7.4,8.5,3.0,2.8,8.9,456789
7.4,8.5,4.0,2.8,11.6,456789
7.4,8.5,5.0,2.8,16.1,456789
7.4,9.0,0.0,2.8,7.8,456789
7.4,9.0,1.0,2.8,8.0,456789
7.4,9.0,2.0,2.8,8.7,456789
7.4,9.0,3.0,2.8,10.3,456789
7.4,9.0,4.0,2.8,13.1,456789
7.4,9.0,5.0,2.8,17.8,456789
7.4,9.5,0.0,2.8,9.1,456789
7.4,9.5,1.0,2.8,9.3,456789
7.4,9.5,2.0,2.8,10.1,456789
7.4,9.5,3.0,2.8,11.7,456789
7.4,9.5,4.0,2.8,14.7,456789
7.4,9.5,5.0,2.8,19.5,456789
7.4,10.0,0.0,2.8,10.5,456789
7.4,10.0,1.0,2.8,10.7,456789
7.4,10.0,2.0,2.8,11.6,456789
7.4,10.0,3.0,2.8,13.3,456789
7.4,10.0,4.0,2.8,16.3,456789
7.4,10.0,5.0,2.8,21.3,456789
7.4,10.5,0.0,2.8,12.0,456789
7.4,10.5,1.0,2.8,12.3,456789
7.4,10.5,2.0,2.8,13.2,456789
7.4,10.5,3.0,2.8,14.9,456789
7.4,10.5,4.0,2.8,18.1,456789
7.4,10.5,5.0,2.8,23.2,456789
7.4,11.0,0.0,2.8,13.7,456789
7.4,11.0,1.0,2.8,14.0,456789
7.4,11.0,2.0,2.8,14.9,456789
7.4,11.0,3.0,2.8,16.7,456789
7.4,11.0,4.0,2.8,19.9,456789
7.4,11.0,5.0,2.8,25.2,456789
7.4,11.5,0.0,2.8,15.6,456789
7.4,11.5,1.0,2.8,15.9,456789
7.4,11.5,2.0,2.8,16.8,456789
